protein,relation,pathway
TCEA1,associatedWith,R-HSA-112382
WDR61,associatedWith,R-HSA-112382
IRS1,associatedWith,R-HSA-112399
IRS2,associatedWith,R-HSA-112399
PIK3CA,associatedWith,R-HSA-112399
PIK3CB,associatedWith,R-HSA-112399
PIK3R1,associatedWith,R-HSA-112399
PIK3R2,associatedWith,R-HSA-112399
DUSP1,associatedWith,R-HSA-112409
DUSP10,associatedWith,R-HSA-112409
DUSP16,associatedWith,R-HSA-112409
DUSP2,associatedWith,R-HSA-112409
DUSP4,associatedWith,R-HSA-112409
DUSP5,associatedWith,R-HSA-112409
DUSP6,associatedWith,R-HSA-112409
DUSP7,associatedWith,R-HSA-112409
DUSP8,associatedWith,R-HSA-112409
DUSP9,associatedWith,R-HSA-112409
MAPK1,associatedWith,R-HSA-112409
MAPK3,associatedWith,R-HSA-112409
PEA15,associatedWith,R-HSA-112409
IL6,associatedWith,R-HSA-112411
IL6R,associatedWith,R-HSA-112411
IL6ST,associatedWith,R-HSA-112411
JAK1,associatedWith,R-HSA-112411
JAK2,associatedWith,R-HSA-112411
MAP2K2,associatedWith,R-HSA-112411
MAPK1,associatedWith,R-HSA-112411
PTPN11,associatedWith,R-HSA-112411
TYK2,associatedWith,R-HSA-112411
GRB2,associatedWith,R-HSA-112412
HRAS,associatedWith,R-HSA-112412
IRS1,associatedWith,R-HSA-112412
